기간	자치구	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	고등학교(합계)	일반고	일반고	일반고	일반고	일반고	특수목적고	특수목적고	특수목적고	특수목적고	특수목적고	특성화고	특성화고	특성화고	특성화고	특성화고	자율고	자율고	자율고	자율고	자율고
기간	자치구	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타	졸업자	진학자	진학자	취업자	기타
기간	자치구	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타	졸업자	학생수	진학률	취업자	기타
2017	합계	100,481	55,081	54.8	10,185	35,215	67,696	41,035	60.6	1,189	25,472	4,472	2,726	61	512	1,234	15,760	4,127	26.2	8,336	3,297	12,553	7,193	57.3	148	5,212
2017	종로구	3,750	2,090	55.7	355	1,305	1,882	1,157	61.5	63	662	625	442	70.7	-	183	589	153	26	292	144	654	338	51.7	-	316
2017	중구	2,687	1,127	41.9	841	719	505	318	63	8	179	159	106	66.7	-	53	1,304	290	22.2	808	206	719	413	57.4	25	281
2017	용산구	2,450	1,291	52.7	376	783	1,617	1,002	62	51	564	-	-	-	-	-	715	222	31	324	169	118	67	56.8	1	50
2017	성동구	1,984	964	48.6	329	691	669	419	62.6	46	204	-	-	-	-	-	807	258	32	283	266	508	287	56.5	-	221
2017	광진구	3,623	2,238	61.8	50	1,335	2,734	1,643	60.1	40	1,051	651	447	68.7	1	203	-	-	-	-	-	238	148	62.2	9	81
2017	동대문구	3,089	1,814	58.7	380	895	1,558	1,127	72.3	18	413	-	-	-	-	-	622	144	23.2	362	116	909	543	59.7	-	366
2017	중랑구	2,913	1,714	58.8	260	939	1,880	1,165	62	14	701	-	-	-	-	-	435	166	38.2	190	79	598	383	64	56	159
2017	성북구	3,639	2,082	57.2	354	1,203	2,496	1,627	65.2	6	863	540	282	52.2	81	177	401	52	13	259	90	202	121	59.9	8	73
2017	강북구	2,165	1,258	58.1	92	815	1,449	929	64.1	1	519	-	-	-	-	-	187	52	27.8	91	44	529	277	52.4	-	252
2017	도봉구	2,847	1,511	53.1	345	991	1,782	1,037	58.2	56	689	267	188	70.4	-	79	462	91	19.7	289	82	336	195	58	-	141
2017	노원구	9,415	4,984	52.9	1,263	3,168	6,858	4,220	61.5	114	2,524	-	-	-	-	-	2,297	591	25.7	1,149	557	260	173	66.5	-	87
2017	은평구	5,310	2,940	55.4	881	1,489	3,488	2,283	65.5	151	1,054	-	-	-	-	-	1,287	308	23.9	729	250	535	349	65.2	1	185
2017	서대문구	2,129	1,364	64.1	41	724	1,613	1,059	65.7	28	526	135	121	89.6	-	14	-	-	-	-	-	381	184	48.3	13	184
2017	마포구	2,195	1,210	55.1	273	712	871	564	64.8	5	302	-	-	-	-	-	518	122	23.6	268	128	806	524	65	-	282
2017	양천구	5,752	3,001	52.2	203	2,548	4,470	2,466	55.2	23	1,981	-	-	-	-	-	600	202	33.7	180	218	682	333	48.8	-	349
2017	강서구	6,746	3,580	53.1	833	2,333	4,685	2,746	58.6	83	1,856	494	329	66.6	-	165	1,303	360	27.6	750	193	264	145	54.9	-	119
2017	구로구	3,854	2,237	58	451	1,166	1,946	1,239	63.7	-	707	436	280	64.2	-	156	829	289	34.9	427	113	643	429	66.7	24	190
2017	금천구	1,990	1,279	64.3	283	428	1,205	901	74.8	54	250	175	132	75.4	-	43	294	31	10.5	219	44	316	215	68	10	91
2017	영등포구	2,780	1,730	62.2	148	902	1,990	1,232	61.9	30	728	-	-	-	-	-	205	56	27.3	118	31	585	442	75.6	-	143
2017	동작구	2,586	1,430	55.3	260	896	1,841	1,187	64.5	21	633	-	-	-	-	-	466	120	25.8	238	108	279	123	44.1	1	155
2017	관악구	4,090	2,311	56.5	644	1,135	2,836	1,862	65.7	73	901	113	-	-	104	9	802	228	28.4	467	107	339	221	65.2	-	118
2017	서초구	4,461	2,187	49	133	2,141	3,560	1,821	51.2	-	1,739	-	-	-	-	-	187	19	10.2	133	35	714	347	48.6	-	367
2017	강남구	8,502	3,874	45.6	567	4,061	6,480	3,185	49.2	30	3,265	499	116	23.2	320	63	325	56	17.2	217	52	1,198	517	43.2	-	681
2017	송파구	6,806	4,008	58.9	581	2,217	5,697	3,591	63	202	1,904	113	100	88.5	6	7	603	93	15.4	373	137	393	224	57	-	169
2017	강동구	4,718	2,857	60.6	242	1,619	3,584	2,255	62.9	72	1,257	265	183	69.1	-	82	522	224	42.9	170	128	347	195	56.2	-	152
